Date,Entry_id,Temperature,Turbidity,Dissolved_Oxygen,pH,Ammonia,Nitrate,Fish_Length,Fish_Weight
2021-06-25 15:14:07,1,27.0625,100,22.562,8.20213,12151.86328,1061,14.12,33.8
2021-06-25 15:14:26,2,27.125,100,20.493,8.19759,15100.59473,1050,14.12,33.8
2021-06-25 15:15:42,3,27.125,100,12.555,8.20213,42010.77344,1039,14.12,33.8
2021-06-25 15:16:01,4,27.0625,100,17.403,8.19759,21075.64453,1037,14.12,33.8
2021-06-25 15:16:21,5,27.125,100,22.765,8.21121,62079.92578,1039,14.12,33.8
2021-06-25 15:16:40,6,27.125,100,19.646,8.19759,10693.24414,1038,14.12,33.8
2021-06-25 15:17:00,7,27.0625,100,31.521,8.19759,32495.45117,1039,14.12,33.8
2021-06-25 15:17:19,8,27.125,100,31.369,8.19305,34473.55469,1039,14.12,33.8
2021-06-25 15:17:39,9,27.0625,100,16.079,8.20213,34473.55469,1038,14.12,33.8
2021-06-25 15:18:35,10,27.0625,100,25.927,8.20213,111202.3906,1036,14.12,33.8
2021-06-25 15:19:31,11,27.125,100,33.475,8.20213,305587.2188,1021,14.12,33.8
2021-06-25 15:21:05,12,27.125,100,16.252,8.18851,2040141.75,1018,14.12,33.8
2021-06-25 15:25:08,13,27.125,100,21.832,8.21575,1092618.25,1038,14.12,33.8
2021-06-25 15:26:05,14,27.125,100,24.936,8.21121,10647393.0,1022,14.12,33.8
2021-06-25 15:27:02,15,27.125,100,19.415,8.20667,172879088.0,1011,14.12,33.8
2021-06-25 15:27:21,16,27.1875,100,16.621,8.21121,2210719.75,1009,14.12,33.8
2021-06-25 15:28:54,17,27.125,100,16.839,8.19759,6752530.5,1012,14.12,33.8
2021-06-25 15:29:50,18,27.1875,100,15.796,8.22029,136042256.0,996,14.12,33.8
2021-06-25 15:31:43,19,27.1875,100,0.0,8.20667,4713923.0,1019,14.12,33.8
2021-06-25 17:28:46,20,27.25,100,7.402,8.13858,1.06427,2165,14.12,33.8
2021-06-25 17:29:06,21,27.25,100,3.292,8.14312,4.0295,1456,14.12,33.8
2021-06-25 17:29:26,22,27.25,100,0.0,8.14312,12.94358,1250,14.12,33.8
2021-06-25 17:30:22,23,27.1875,100,33.388,8.13858,177.86523,1119,14.12,33.8
2021-06-25 17:31:19,24,27.1875,100,9.501,8.15674,1986.16162,1073,14.12,33.8
2021-06-25 17:31:38,25,27.1875,100,11.665,8.14312,2925.95142,1072,14.12,33.8
2021-06-25 17:31:58,26,27.25,100,2.843,8.14312,7125.13281,1059,14.12,33.8
2021-06-25 17:32:17,27,27.25,100,10.413,8.15674,11595.01172,1053,14.12,33.8
2021-06-25 17:33:14,28,27.25,100,11.498,8.15674,199741.1563,1041,14.12,33.8
2021-06-25 17:33:33,29,27.25,100,4.103,8.14312,104917.8594,1040,14.12,33.8
2021-06-25 17:34:29,30,27.1875,100,22.512,8.13858,464484.875,1030,14.12,33.8
2021-06-25 17:34:49,31,27.1875,100,14.776,8.14312,10028308.0,1023,14.12,33.8
2021-06-25 17:36:41,32,27.25,100,5.528,8.15674,4787283968.0,1022,14.12,33.8
2021-06-25 17:37:01,33,27.25,100,6.266,8.16128,19449161728.0,1010,14.12,33.8
2021-07-07 15:15:31,34,26.1875,100,16.989,7.24885,5.39682,647,15.37142856,39.34285716
2021-07-07 15:15:51,35,26.1875,100,18.542,7.24431,4.29682,731,15.37142856,39.34285716
2021-07-07 15:16:11,36,26.1875,100,22.114,7.24431,5.29486,656,15.37142856,39.34285716
2021-07-07 15:16:31,37,26.125,100,13.044,7.33963,7.45456,653,15.37142856,39.34285716
2021-07-07 15:16:50,38,26.125,100,20.69,7.28516,4.46257,627,15.37142856,39.34285716
2021-07-07 15:17:10,39,26.1875,100,17.072,7.23977,3.80791,750,15.37142856,39.34285716
2021-07-07 15:17:30,40,26.1875,100,17.979,7.24431,6.0999,701,15.37142856,39.34285716
2021-07-07 15:17:49,41,26.125,100,14.148,7.24431,6.84643,668,15.37142856,39.34285716
2021-07-07 15:18:09,42,26.125,100,17.354,7.24431,9.60837,646,15.37142856,39.34285716
2021-07-07 15:24:29,43,26.1875,100,15.321,7.23977,38.22308,620,15.37142856,39.34285716
2021-07-07 15:24:48,44,26.1875,100,17.347,7.23977,60.11809,573,15.37142856,39.34285716
